year age0cpe
1969 206.08
1970 202.51
1971 75.17
1972 24.38
1973 4.29
1974 10.06
1975 18.16
1976 23.44 
1977 20.38
1978 8.06
1979 11.36
1980 25.24
1981 20.49
1982 4.88
1983 2.1
1984 7.68
1985 4.52
1986 3.14
1987 0.57
1988 4.25
1989 1.35
1990 8.42
1991 2.04
1992 3.66
1993 2.84
1994 2.49
1995 0.6
1996 4.85
1997 3.14
