net	fish	weight	catch1	catch2
1	1	0.495	10	48
1	2	0.391	10	48
1	3	0.274	10	48
1	4	0.47	10	48
1	5	0.309	10	48
1	6	0.369	10	48
1	7	0.381	10	48
1	8	0.308	10	48
1	9	0.42	10	48
1	10	0.326	10	48
2	1	0.319	5	5
2	2	0.419	5	5
2	3	0.503	5	5
2	4	0.451	5	5
2	5	0.491	5	5
3	1	0.514	7	20
3	2	0.497	7	20
3	3	0.374	7	20
3	4	0.457	7	20
3	5	0.388	7	20
3	6	0.521	7	20
3	7	0.539	7	20
4	NA	NA	0	0
5	1	0.61	3	3
5	2	0.572	3	3
5	3	0.681	3	3
