year	catch	rIndex	aIndex
1985	94500	11.24	43.15
1986	99154	7.99	38.46
1987	74201	14.17	29.70
1988	65827	19.15	32.85
1989	66569	10.37	35.07
1990	69000	17.56	34.38
1991	93633	9.52	34.91
1992	78069	14.06	31.05
1993	78614	21.20	23.73
1994	82258	12.41	37.11
1995	60351	17.05	22.92
1996	48212	13.23	23.49
1997	45449	3.50	27.77
1998	34020	21.12	28.58
1999	38488	6.60	38.09
2000	44865	8.75	32.04
2001	47680	9.01	34.31
