# Box 5.2
ID sex Lc date age Sc inc Si
07447	M	336	2004	3	16.3	1	5
07447	M	336	2004	3	16.3	2	12.9
07447	M	336	2004	3	16.3	3	16.3
35334	F	395	2004	4	18.4	1	4.8
35334	F	395	2004	4	18.4	2	9.9
35334	F	395	2004	4	18.4	3	16.5
35334	F	395	2004	4	18.4	4	18.4
44736	F	386	2004	4	18.6	1	4.9
44736	F	386	2004	4	18.6	2	8.5
44736	F	386	2004	4	18.6	3	13.6
44736	F	386	2004	4	18.6	4	18.6
72238	M	416	2004	4	15.0	1	4.5
72238	M	416	2004	4	15.0	2	9.0
72238	M	416	2004	4	15.0	3	12.5
72238	M	416	2004	4	15.0	4	15.0
72533	M	452	2004	6	20.0	1	3.2
72533	M	452	2004	6	20.0	2	8.5
72533	M	452	2004	6	20.0	3	13.4
72533	M	452	2004	6	20.0	4	16.0
72533	M	452	2004	6	20.0	5	18.5
72533	M	452	2004	6	20.0	6	20.0
72635	M	429	2004	5	12.7	1	3.5
72635	M	429	2004	5	12.7	2	7.3
72635	M	429	2004	5	12.7	3	10.4
72635	M	429	2004	5	12.7	4	12.0
72635	M	429	2004	5	12.7	5	12.7
73177	M	410	2004	4	16.5	1	3.0
73177	M	410	2004	4	16.5	2	8.9
73177	M	410	2004	4	16.5	3	14.0
73177	M	410	2004	4	16.5	4	16.5
73303	M	444	2004	5	18.3	1	4.0
73303	M	444	2004	5	18.3	2	9.8
73303	M	444	2004	5	18.3	3	14.5
73303	M	444	2004	5	18.3	4	16.5
73303	M	444	2004	5	18.3	5	18.3
73426	F	470	2004	10	18.6	1	2.9
73426	F	470	2004	10	18.6	2	8.4
73426	F	470	2004	10	18.6	3	12.0
73426	F	470	2004	10	18.6	4	13.0
73426	F	470	2004	10	18.6	5	14.0
73426	F	470	2004	10	18.6	6	14.9
73426	F	470	2004	10	18.6	7	15.9
73426	F	470	2004	10	18.6	8	17.0
73426	F	470	2004	10	18.6	9	17.9
73426	F	470	2004	10	18.6	10	18.6
73571	M	379	2004	3	17.3	1	3.8
73571	M	379	2004	3	17.3	2	11.5
73571	M	379	2004	3	17.3	3	17.3
73603	F	463	2004	7	19.4	1	3.3
73603	F	463	2004	7	19.4	2	7.5
73603	F	463	2004	7	19.4	3	11.9
73603	F	463	2004	7	19.4	4	15.5
73603	F	463	2004	7	19.4	5	16.9
73603	F	463	2004	7	19.4	6	18.4
73603	F	463	2004	7	19.4	7	19.4
73639	F	467	2004	9	18.7	1	3.1
73639	F	467	2004	9	18.7	2	6.9
73639	F	467	2004	9	18.7	3	10.4
73639	F	467	2004	9	18.7	4	13.0
73639	F	467	2004	9	18.7	5	14.5
73639	F	467	2004	9	18.7	6	16.0
73639	F	467	2004	9	18.7	7	17.0
73639	F	467	2004	9	18.7	8	18.0
73639	F	467	2004	9	18.7	9	18.7
73652	M	431	2004	5	16.0	1	3.0
73652	M	431	2004	5	16.0	2	9.0
73652	M	431	2004	5	16.0	3	13.0
73652	M	431	2004	5	16.0	4	15.0
73652	M	431	2004	5	16.0	5	16.0
73767	M	394	2004	4	22.0	1	4.5
73767	M	394	2004	4	22.0	2	12.0
73767	M	394	2004	4	22.0	3	19.0
73767	M	394	2004	4	22.0	4	22.0
73908	F	499	2004	15	27.0	1	3.6
73908	F	499	2004	15	27.0	2	7.8
73908	F	499	2004	15	27.0	3	12.5
73908	F	499	2004	15	27.0	4	14.0
73908	F	499	2004	15	27.0	5	16.0
73908	F	499	2004	15	27.0	6	17.5
73908	F	499	2004	15	27.0	7	19.2
73908	F	499	2004	15	27.0	8	20.5
73908	F	499	2004	15	27.0	9	21.7
73908	F	499	2004	15	27.0	10	23.0
73908	F	499	2004	15	27.0	11	24.0
73908	F	499	2004	15	27.0	12	25.0
73908	F	499	2004	15	27.0	13	26.0
73908	F	499	2004	15	27.0	14	26.5
73908	F	499	2004	15	27.0	15	27.0
74568	F	510	2004	13	23.2	1	3.3
74568	F	510	2004	13	23.2	2	7.0
74568	F	510	2004	13	23.2	3	10.5
74568	F	510	2004	13	23.2	4	14.8
74568	F	510	2004	13	23.2	5	16
74568	F	510	2004	13	23.2	6	17.2
74568	F	510	2004	13	23.2	7	18.2
74568	F	510	2004	13	23.2	8	19.1
74568	F	510	2004	13	23.2	9	19.9
74568	F	510	2004	13	23.2	10	20.7
74568	F	510	2004	13	23.2	11	22.0
74568	F	510	2004	13	23.2	12	22.5
74568	F	510	2004	13	23.2	13	23.2
74806	F	580	2004	17	24.0	1	3.3
74806	F	580	2004	17	24.0	2	7.0
74806	F	580	2004	17	24.0	3	11.3
74806	F	580	2004	17	24.0	4	12.8
74806	F	580	2004	17	24.0	5	14.0
74806	F	580	2004	17	24.0	6	15.0
74806	F	580	2004	17	24.0	7	16.0
74806	F	580	2004	17	24.0	8	17.1
74806	F	580	2004	17	24.0	9	18.0
74806	F	580	2004	17	24.0	10	19.0
74806	F	580	2004	17	24.0	11	20.1
74806	F	580	2004	17	24.0	12	20.7
74806	F	580	2004	17	24.0	13	21.5
74806	F	580	2004	17	24.0	14	22.0
74806	F	580	2004	17	24.0	15	22.8
74806	F	580	2004	17	24.0	16	23.5
74806	F	580	2004	17	24.0	17	24.0
74903	F	526	2004	11	22.7	1	3.5
74903	F	526	2004	11	22.7	2	8.5
74903	F	526	2004	11	22.7	3	12.7
74903	F	526	2004	11	22.7	4	14.6
74903	F	526	2004	11	22.7	5	16.0
74903	F	526	2004	11	22.7	6	17.1
74903	F	526	2004	11	22.7	7	18.0
74903	F	526	2004	11	22.7	8	19.2
