lake year spawner recruit
AL 91 340 5.41
AL 92 907 3.00
AL 93 171 2.41
AL 94 1040 2.25 
AL 95 55 0.41
AL 96 524 8.71
DE 92 213  1.13
DE 93 1034 4.66
DE 94 457 1.94
DE 95 200 7.28 
DE 96  669 10.56
JB 90 372 9.33
JB 91 386 2.19
JB 92 585 6.75
JB 93 660 13.85 
JB 94 337 3.58
JB 95 396  3.48
JB 96 620 23.70
