Zooplankton	Benthos	Fish
0.000	0.000	16.217
0.200	2.501	0.000
0.593	0.054	0.000
0.356	0.741	0.000
0.070	1.112	0.000
0.191	1.734	0.000
0.012	0.022	0.000
0.017	2.822	0.000
0.400	2.796	0.000
0.202	2.154	0.000
0.591	0.559	0.000
0.737	0.902	0.000
0.095	0.098	0.000
0.000	0.000	12.090
0.747	1.913	0.000
0.663	0.600	0.000
0.937	0.354	0.000
0.664	0.213	0.000
0.623	0.448	0.000
0.103	2.077	0.000
