# Box 5.5
#
id sex tl w year age bcyear bcage bctl growth
04111	F	486	710	2004	9	1995	1	76	76
04111	F	486	710	2004	9	1996	2	181	104
04111	F	486	710	2004	9	1997	3	275	94
04111	F	486	710	2004	9	1998	4	326	51
04111	F	486	710	2004	9	1999	5	366	41
04111	F	486	710	2004	9	2000	6	412	46
04111	F	486	710	2004	9	2001	7	433	20
04111	F	486	710	2004	9	2002	8	463	31
04111	F	486	710	2004	9	2003	9	486	23
35334	F	395	640	2004	4	2000	1	103	103
35334	F	395	640	2004	4	2001	2	213	109
35334	F	395	640	2004	4	2002	3	354	142
35334	F	395	640	2004	4	2003	4	395	41
44736	F	386	620	2004	4	2000	1	102	102
44736	F	386	620	2004	4	2001	2	176	75
44736	F	386	620	2004	4	2002	3	282	106
44736	F	386	620	2004	4	2003	4	386	104
73603	F	463	1000	2004	7	1997	1	79	79
73603	F	463	1000	2004	7	1998	2	179	100
73603	F	463	1000	2004	7	1999	3	284	105
73603	F	463	1000	2004	7	2000	4	370	86
73603	F	463	1000	2004	7	2001	5	403	33
73603	F	463	1000	2004	7	2002	6	439	36
73603	F	463	1000	2004	7	2003	7	463	24
73639	F	467	850	2004	9	1995	1	77	77
73639	F	467	850	2004	9	1996	2	172	95
73639	F	467	850	2004	9	1997	3	260	87
73639	F	467	850	2004	9	1998	4	325	65
73639	F	467	850	2004	9	1999	5	362	37
73639	F	467	850	2004	9	2000	6	400	37
73639	F	467	850	2004	9	2001	7	425	25
73639	F	467	850	2004	9	2002	8	450	25
73639	F	467	850	2004	9	2003	9	467	17
74936	F	446	1000	2004	5	1999	1	96	96
74936	F	446	1000	2004	5	2000	2	231	135
74936	F	446	1000	2004	5	2001	3	320	89
74936	F	446	1000	2004	5	2002	4	389	69
74936	F	446	1000	2004	5	2003	5	446	57
75155	F	463	950	2004	7	1997	1	76	76
75155	F	463	950	2004	7	1998	2	215	139
75155	F	463	950	2004	7	1999	3	304	89
75155	F	463	950	2004	7	2000	4	367	63
75155	F	463	950	2004	7	2001	5	405	38
75155	F	463	950	2004	7	2002	6	443	38
75155	F	463	950	2004	7	2003	7	463	20
76432	F	360	360	2004	3	2001	1	109	109
76432	F	360	360	2004	3	2002	2	199	89
76432	F	360	360	2004	3	2003	3	360	161
77209	F	450	1100	2004	6	1998	1	101	101
77209	F	450	1100	2004	6	1999	2	233	132
77209	F	450	1100	2004	6	2000	3	325	92
77209	F	450	1100	2004	6	2001	4	378	54
77209	F	450	1100	2004	6	2002	5	419	40
77209	F	450	1100	2004	6	2003	6	450	31
80278	F	437	750	2004	5	1999	1	78	78
80278	F	437	750	2004	5	2000	2	231	153
80278	F	437	750	2004	5	2001	3	372	141
80278	F	437	750	2004	5	2002	4	417	45
80278	F	437	750	2004	5	2003	5	437	20
81555	F	467	780	2004	9	1995	1	98	98
81555	F	467	780	2004	9	1996	2	201	103
81555	F	467	780	2004	9	1997	3	296	95
81555	F	467	780	2004	9	1998	4	344	48
81555	F	467	780	2004	9	1999	5	374	30
81555	F	467	780	2004	9	2000	6	397	23
81555	F	467	780	2004	9	2001	7	422	25
81555	F	467	780	2004	9	2002	8	447	25
81555	F	467	780	2004	9	2003	9	467	20
84303	F	346	660	2004	3	2001	1	101	101
84303	F	346	660	2004	3	2002	2	215	114
84303	F	346	660	2004	3	2003	3	346	131
84462	F	438	730	2004	5	1999	1	78	78
84462	F	438	730	2004	5	2000	2	189	111
84462	F	438	730	2004	5	2001	3	331	142
84462	F	438	730	2004	5	2002	4	402	71
84462	F	438	730	2004	5	2003	5	438	36
84464	F	437	930	2004	4	2000	1	103	103
84464	F	437	930	2004	4	2001	2	238	135
84464	F	437	930	2004	4	2002	3	371	132
84464	F	437	930	2004	4	2003	4	437	66
84550	F	411	580	2004	4	2000	1	114	114
84550	F	411	580	2004	4	2001	2	256	143
84550	F	411	580	2004	4	2002	3	384	128
84550	F	411	580	2004	4	2003	4	411	27
84644	F	335	1100	2004	3	2001	1	113	113
84644	F	335	1100	2004	3	2002	2	286	174
84644	F	335	1100	2004	3	2003	3	335	49
84737	F	384	330	2004	3	2001	1	101	101
84737	F	384	330	2004	3	2002	2	251	150
84737	F	384	330	2004	3	2003	3	384	133
84937	F	378	670	2004	3	2001	1	106	106
84937	F	378	670	2004	3	2002	2	221	114
84937	F	378	670	2004	3	2003	3	378	157
85032	F	344	490	2004	3	2001	1	81	81
85032	F	344	490	2004	3	2002	2	219	138
85032	F	344	490	2004	3	2003	3	344	125
86658	F	449	950	2004	6	1998	1	87	87
86658	F	449	950	2004	6	1999	2	243	156
86658	F	449	950	2004	6	2000	3	330	87
86658	F	449	950	2004	6	2001	4	383	53
86658	F	449	950	2004	6	2002	5	423	40
86658	F	449	950	2004	6	2003	6	449	26
77C50	F	372	520	2004	3	2001	1	94	94
77C50	F	372	520	2004	3	2002	2	230	136
77C50	F	372	520	2004	3	2003	3	372	142
C0730	F	405	760	2004	4	2000	1	99	99
C0730	F	405	760	2004	4	2001	2	231	132
C0730	F	405	760	2004	4	2002	3	334	103
C0730	F	405	760	2004	4	2003	4	405	71
07447	M	336	410	2004	3	2001	1	103	103
07447	M	336	410	2004	3	2002	2	266	163
07447	M	336	410	2004	3	2003	3	336	70
72238	M	416	710	2004	4	2000	1	125	125
72238	M	416	710	2004	4	2001	2	250	125
72238	M	416	710	2004	4	2002	3	347	97
72238	M	416	710	2004	4	2003	4	416	69
72533	M	452	830	2004	6	1998	1	72	72
72533	M	452	830	2004	6	1999	2	192	120
72533	M	452	830	2004	6	2000	3	303	111
